export_value,balance_value
114,-2609
2,-206
0,-1090
0,-152
0,-6709
0,-1108
0,-1316
0,-63915
0,-1863
0,-182
208,-426
0,-10364
0,330
0,-223
1877,1836
15,-197
0,-24
0,2031
0,201
0,-10431
12240,101981
0,-358399
0,-4920
0,-3333
0,-787734
540,-5857
800,-2801
0,-1243
0,-11242
0,-32240
0,-2223
168,-34754
0,-791
0,0
0,-875
0,517
0,-7847
0,-3511
0,-5851
0,-16286
0,-4082
0,-194
0,-6875
0,-4048
0,-93262
0,-1775
11,-10071
0,-1175
0,-6041
0,-760
0,4
0,51
0,-203
0,-152
0,-1260
0,-8976
0,-65
2,-3
0,-173911
0,-15656
593,-70987
0,-15953
0,-1030
0,-5827
0,-14947
0,-23954
0,-604
0,154
0,-22922
0,-156215
0,-72
0,-1557
0,-15749
2710,-52505
0,-400080
0,-31796
0,-170002
0,-192636
0,-1062
0,-30
0,-11
0,-1181
0,-621
0,-193
0,-2481529
0,-375247
0,-86502
0,-317
0,-51237
0,-2392
0,-3943
0,-157797
0,-23
0,-11277
0,-1426
0,-57
0,-96
0,-16850
0,-36053
0,-1402
0,-9660
0,-1527
0,-1
0,-3805
0,-3598
0,-7400
0,-80
0,-2809
0,-29
0,-14427
0,-63
0,-131836
0,-77
0,-19332
0,-522
0,-207
0,-4832
0,-1082
0,-45708
0,-18918
0,-210452
0,-58469
0,-149051
0,-7191
0,-72290
0,-15608
0,-7965
0,-36012
120,120
2064,-23259
0,-6734
6091,-675906
205,160
3791,-15352
1806,1580
0,-18488
0,-7621
0,-9632
0,-3059
0,-2467
0,4541
0,-4234
0,-1268
0,-218717
0,-48275
0,-29441
0,-1764
0,-4617
0,-2621
0,-977
0,-6981
0,-8577
0,-6392
4,-3063
0,-467
0,-8913
0,1610
0,-1956
0,-10825
0,-4285
0,-967
0,-109
0,-15598
0,-387788
0,-91917
0,-214495
0,-89529
0,-19632
0,-145
0,-86973
0,-12903
0,-85546
0,-49385
0,-991
0,-40784
0,-4024
0,-15416
218,-8411
0,-6081
0,-6183
0,-8105
0,-13602
0,266
0,-1019
0,-128
0,-13669
0,-3189
0,-3217
0,-914
0,-125993
0,-23112
0,-1534
0,-49315
0,-79758
0,-83665
0,-261380
0,-4641954
0,-3650
0,-925
0,-388912
0,-20563
0,-5048
0,-81
0,-57950
0,-814
0,-185
0,-5598
0,-110994
0,-529
0,38
0,-7992
0,-604
0,-5504
0,-198
0,-4744
0,-4600
0,54
0,665
0,-3124
0,-50267
0,-20
0,-4540
0,269
0,-2115
0,-961
0,866
0,76
0,-28399
0,-52637
0,-3606
0,-12
0,-902
0,-501
0,-198
0,-99
0,-2424
0,-3714
0,-8827
0,-1086
0,-29254
0,-196209
0,1689
0,-877
0,-37
0,-4113
0,-5776
8532,-1630
5353,-70883
0,-56053
0,-46888
0,-19100
0,-346
0,-970
0,2242
0,2892
16982,14061
0,-19305
344,-8083
1823,-44450
0,110335
0,-51195
0,3099
0,-893
0,-17496
0,-31154
0,-37226
0,-18826
0,-1457
119,-19842
821,-10378
0,-17
0,-42303
0,-3677
0,-11783
0,-840
0,-5541
0,-3266
0,-7136
0,51
0,-232
0,-47
0,-5225
0,-10905
139,-33504
13786,-921979
0,-396
0,106
0,-4827
0,-5929
0,-281
0,-43804
0,-2079
0,-3170
0,229
0,-11
0,4
0,-122
0,-82
0,16
0,-8197
0,-58
0,-26438
0,-7
0,-929
0,-6563
0,-3611
0,-889
0,-238
0,49
0,219
0,-719
0,-1060
0,-1902
0,-5
0,-1179
0,-225
0,-747
0,7
0,-599
0,117
0,-61
0,-2683
1702,-88042
0,-444
0,992
0,-998
0,-1408
0,-134
0,-7500
0,-505
0,345
0,8690
0,-274
0,-1761
0,-1503
0,-7030
0,-4579
18970,14321
936,-36911
0,-3395
820,908
237,474
0,988
0,-4839
3825,-33090
0,-100259
0,-1824
0,-10907
0,-5252
0,-374
0,-15709
0,457
0,-1714
0,-89
0,-3271
0,-4567
0,-3597
0,-10301
0,-16111
66,-18902
0,-298
0,-11913
0,-7931
0,-1745
0,-35249
604,-65109
0,-28307
88,-11305
0,-48440
0,-2169
0,1580
0,-7928
0,-369
0,-8
0,-5508
0,-17
0,-274
0,-9313
0,349
0,-1425
0,-907
0,-412
0,23
0,0
0,-1036
0,-110
4600,-8999
0,165975
0,-222
0,-343
0,-4857
0,-16813
0,-17740
83,-382197
0,-3562
0,-95918
0,-1058078
1717,-1011699
1550,-133194
0,-1580
0,-1090
2518,-95537
0,-12088
0,-63157
0,-7244
